ID,Sex,Bachelor,Age,Graduated,Career,Work Experience,Family Expenses,Family  Size,Variable,Description
1462224759,Female,Yes,42,No,Scientist,4,Low,1,Dog_6,The specimen is reliable and experienced.
1462220081,Female,No,41,Yes,Fashion Designer,0,Low,1,Dog_6,The specimen is reliable and experienced.
1462226086,Female,No,18,No,Doctor,2,Low,5,Dog_6,The specimen is rather joyful than responsible.
1462224440,Male,No,30,Yes,Doctor,1,Low,4,Dog_6,The specimen is reliable and experienced.
1462222905,Male,Yes,81,Yes,Lawyer,1,Low,1,Dog_6,The specimen is reliable and experienced.
1462222945,Female,No,18,No,Doctor,,Low,3,Dog_3,The specimen is rather joyful than responsible.
1462225012,Female,No,25,Yes,Fashion Designer,2,Low,2,Dog_6,The specimen is responsible and hardworking.
1462223210,Male,No,29,No,Scientist,1,Low,3,Dog_6,The specimen is responsible and hardworking.
1462220031,Male,No,28,Yes,Fashion Designer,13,Low,2,Dog_6,The specimen is responsible and hardworking.
1462220059,Male,Yes,69,No,Fashion Designer,0,Average,3,Dog_6,The specimen is reliable and experienced.
1462221861,Male,No,33,Yes,Fashion Designer,3,Low,5,Dog_6,The specimen is reliable and experienced.
1462224995,Male,Yes,72,Yes,Lawyer,0,High,2,Dog_6,The specimen is reliable and experienced.
1462224765,Male,No,33,Yes,Scientist,9,Low,6,Dog_4,The specimen is reliable and experienced.
1462221668,Male,Yes,52,No,Scientist,,Average,4,Dog_3,The specimen is reliable and experienced.
1462218524,Female,No,27,Yes,Fashion Designer,14,Low,3,Dog_6,The specimen is responsible and hardworking.
1462222429,Female,Yes,58,Yes,Fashion Designer,1,Average,2,Dog_6,The specimen is reliable and experienced.
1462220304,Male,Yes,70,Yes,HR,1,High,5,Dog_3,The specimen is reliable and experienced.
1462225666,Male,No,22,No,Doctor,9,Low,4,Dog_6,The specimen is responsible and hardworking.
1462218765,Male,No,32,Yes,Fashion Designer,1,Low,2,Dog_6,The specimen is reliable and experienced.
1462225865,Female,Yes,58,Yes,Fashion Designer,0,Low,3,Dog_3,The specimen is reliable and experienced.
1462222980,Female,Yes,28,No,Housewife,9,High,3,Dog_6,The specimen is responsible and hardworking.
1462225252,Female,No,38,Yes,Fashion Designer,1,Low,3,Dog_6,The specimen is reliable and experienced.
1462226469,Male,Yes,55,,Singer,,High,5,Dog_6,The specimen is reliable and experienced.
1462219426,Male,Yes,82,Yes,Lawyer,1,High,2,Dog_6,The specimen is reliable and experienced.
1462222891,Female,Yes,46,Yes,Fashion Designer,0,Average,4,Dog_3,The specimen is reliable and experienced.
1462225929,Female,Yes,82,No,Lawyer,0,High,2,Dog_6,The specimen is reliable and experienced.
1462218566,Female,No,19,No,Content Creation,1,Low,3,Dog_4,The specimen is rather joyful than responsible.
1462221768,Male,No,43,Yes,Fashion Designer,11,Low,1,Dog_3,The specimen is reliable and experienced.
1462219042,Male,Yes,43,No,Fashion Designer,1,Low,2,Dog_6,The specimen is reliable and experienced.
1462221439,Female,No,26,Yes,Scientist,9,Low,4,Dog_6,The specimen is responsible and hardworking.
1462219157,Female,Yes,60,Yes,Fashion Designer,8,High,2,Dog_6,The specimen is reliable and experienced.
1462218616,Female,Yes,50,Yes,Scientist,1,High,2,Dog_4,The specimen is reliable and experienced.
1462224576,Female,Yes,52,Yes,Fashion Designer,3,Low,2,,The specimen is reliable and experienced.
1462222151,Female,Yes,89,Yes,Lawyer,2,Low,1,Dog_6,The specimen is reliable and experienced.
1462221994,Female,No,59,Yes,Fashion Designer,,Low,1,Dog_6,The specimen is reliable and experienced.
1462222143,Female,No,29,No,Doctor,0,Low,3,Dog_6,The specimen is responsible and hardworking.
